id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1977,Katyn ( Post mortem. Opowiesc katynska ),2.86/4,2009,Drama/Historical,NR,Andrzej Wajda,"Andrzej Chyra, Maja Ostaszewska, Artur Zmijewski",
1978,Pontypool,2.65/4,2009,Horror/Thriller,NR,Bruce McDonald,"Stephen McHattie, Lisa Houle, Georgina Reilly","A small Canadian town is infected by a zombie virus that appears to be carried not by blood or bite, but rather the English language."
1979,Nothing But the Truth (2009),2.67/4,2009,Drama,R,Rod Lurie,"Kate Beckinsale, Matt Dillon, Angela Bassett","A female reported faces a jail sentence when she reveals the identity of a covert CIA agent, but will not give up her confidential source."
1980,Tetro,2.71/4,2009,Drama,R,Francis Ford Coppola,"Vincent Gallo, Maribel Verd̼, Alden Ehrenreich",
1981,Grey Gardens (2009),2.66/4,2009,Biography/Drama,NR,Michael Sucsy,"Drew Barrymore, Jessica Lange, Jeanne Tripplehorn","HBO Films presents a movie based on the two Edith Beales, relatives of Jackie Bouvier Kennedy, and the creation of the 1975 documentary that featured their lives. Jessica Lange and Drew Barrymore play the mother-daughter duo."
1982,The Great Buck Howard,2.62/4,2009,Comedy/Drama,PG,Sean McGinly,"Colin Hanks, B.J. Hendricks, John Malkovich","A young, law-school dropout answers an ad to become an assistant and finds himself at the whim of a failing magician trying to stage the comeback of a lifetime."
1983,Ajab Prem Ki Ghazab Kahani,2.68/4,2009,Comedy/Romance,NR,Rajkumar Santoshi,"Ranbir Kapoor, Darshan Jariwala, Smita Jaykar",
1984,His Name Was Jason: 30 Years of Friday the 13th,2.75/4,2009,Documentary/Horror,NR,Daniel Farrands,"Tom Savini, Kane Hodder, Betsy Palmer","Exploring the legacy of a villain who's fueled a franchise for nearly 30 years and is on a first-name basis with horror fans everywhere, this documentary pays tribute to Jason Voorhees, the hockey-masked star character of the Friday the 13th films."
1985,Whatever Works,2.57/4,2009,Comedy/Romance,PG-13,Woody Allen,"Evan Rachel Wood, Henry Cavill, Patricia Clarkson",
1986,The Lovely Bones,2.51/4,2009,Drama/Thriller,PG-13,Peter Jackson,"Saoirse Ronan, Rachel Weisz, Susan Sarandon","Based on the novel by Alice Sebold - When Susie Salmon is murdered, she watches from heaven as her family deals with the tragedy and their interactions with police, friends and even her own murderer."
1987,2012,2.45/4,2009,Sci-Fi/Drama,PG-13,Roland Emmerich,"John Cusack, Chiwetel Ejiofor, Oliver Platt","Scholars and everyday people have long wondered why the Mayan calendar suddenly ends on 12/21/12. Director Roland Emmerich imagines a world torn apart by global catastrophe - earthquakes, volcanic eruptions, tsunamis - and a group of people who dare to survive and try to stop the events before they wipe out all of humanity."
1988,The Ugly Truth,2.51/4,2009,Comedy/Romance,R,Robert Luketic,"Gerard Butler, Katherine Heigl, Cheryl Hines","Abby Richter is a morning show producer looking for the perfect man. Mike Alexander is a chauvinistic personality on the show. When the higher-ups decide to team the two up to test theories on relationships, an unlikely truth will be revealed."
1989,Professor Layton and The Eternal Diva ( Eiga Reiton-ky̫ju to eien no utahime ),3.00/4,2009,Anime/Adventure,NR,Masakazu Hashimoto,"Y̫ izumi, Maki Horikita, Nana Mizuki",
1990,Pandorum,2.54/4,2009,Adventure/Horror,R,Christian Alvart,"Ben Foster, Dennis Quaid, Cam Gigandet",Two astronauts wake up in a seemingly abandoned spacecraft with no idea where they are or what they're doing.  After exploring they realize they are not alone and soon learn their situation may save or destroy mankind.
1991,Ong bak 2,2.59/4,2009,Action,R,Tony Jaa,"Tony Jaa, Sorapong Chatree, Sarunyu Wongkrachang","Tony Jaa returns in this epic story. Tien (Tony) is kidnapped from his family and raised by Pha Beek Krut (pirates). Cher Nung the pirate leader teaches Tien how to become a pirate. Once Tien has proven his physical and mental prowess, Cher Nung hands over the leadership of the clan. Tien now must embark on his mission to track down Lord Rajasena and bring his family's honor to justice.

If you have never seen a Tony Jaa movie before, you will be in for a real treat. His fight scenes are so action packed that you wont have time to drop your jaw! The final battle will rival the Tony's ""bonebreaking"" scene from Tom-Yum-Goong (The Protector)."
1992,Dead Snow ( Dd sn ),2.54/4,2009,Comedy/Horror,NR,Tommy Wirkola,"Charlotte Frogner, rjan Gamst, Stig Frode Henriksen",Evil Dead meets Shaun of the Dead. Young adults looking for fun in the snow find zombie Nazis instead. Zombie killing and typical humorous punchlines ensue.
1993,"Horsemen, The (2009)",2.58/4,2009,Drama/Horror,R,Jonas kerlund,"Dennis Quaid, Ziyi Zhang, Patrick Fugit","Grieving over his wife, distanced from his two sons, a detective investigating a series of gristly serial murders discovers a connection between him and the suspects that ties in to the Biblical Four Horsemen of the Apocalypse."
1994,Blood and Bone (2009),2.83/4,2009,Action/Drama,R,Ben Ramsey,"Michael Jai White, Julian Sands, Eamonn Walker",
1995,Doghouse,2.63/4,2009,Comedy/Horror,NR,Jake West,"Danny Dyer, Stephen Graham, Noel Clarke","Trying to bring their friend out a funk following his divorce, the group heads to a town to get really drunk. It's really too bad for them that a virus has turned all the women into men-hating, psychotic cannibals intent on ripping them apart."
1996,Across the Hall,2.79/4,2009,Thriller,R,Alex Merkin,"Mike Vogel, Brittany Murphy, Danny Pino","A thriller about a standoff between a young man, his fianc̩e and his best friend who comes to his aide."
1997,"Collector, The (2009)",2.55/4,2009,Crime/Horror,R,Marcus Dunstan,"Madeline Zima, Andrea Roth, Daniella Alonso","Desperate to repay his debt to his ex wife, an ex con plots a heist at his new employer's country home, unaware that a second criminal has also targeted the property."
1998,Funny People,2.50/4,2009,Comedy,R,Judd Apatow,"Adam Sandler, Seth Rogen, Leslie Mann","A seasoned comedian learns he has a terminal condition and takes a green performer under his wing. They soon develop a close bond that extends beyond professional comedy, and each will discover that life has something to offer - especially when given a second chance."
1999,Everybody's Fine (2009),2.56/4,2009,Adventure/Comedy,PG-13,Kirk Jones,"Robert De Niro, Kate Beckinsale, Drew Barrymore","After his wife dies, a widower realizes she was the only connection to his family. He decides to go on a cross-country trip in order to connect with each of his adult children."
2000,Phoebe in Wonderland,2.77/4,2009,Drama,PG-13,Daniel Barnz,"Felicity Huffman, Caitlin Sanchez, Ian Colletti",A girl unwilling or unable to except the rule-obsessed society looks to her unconventional drama teacher for help even as her own mother looks to her for inspiration.
2001,No Greater Love (2009),3.00/4,2009,Drama/Romance,PG,Brad J. Silverman,"Danielle Bisutti, Eric Bivens-Bush, Alexis Boozer",
2002,Paranormal Activity,2.53/4,2009,Horror,R,Oren Peli,"Michael Bayouth, Katie Featherston, Randy McDowell","A couple moves into a typical suburban tract house, but soon begins to experience strange phenomena at night. Setting up a video camera, they hope to capture evidence of the force, demonic or otherwise, that is terrorizing them."
2003,Bad Lieutenant: Port of Call New Orleans,2.62/4,2009,Crime/Drama,R,Werner Herzog,"Nicolas Cage, Val Kilmer, Eva Mendes",A detective battles his addictions in post-Katrina New Orleans while investigating the deaths of five immigrants.
2004,Tyson,2.58/4,2009,Documentary,NR,James Toback,Mike Tyson,Former heavyweight champion Mike Tyson examines his own life in and out of the ring.
2005,Surrogates (2009),2.49/4,2009,Sci-Fi/Thriller,PG-13,Jonathan Mostow,"James Francis Ginty, Michael O'Toole, Bruce Willis","A future where humanity is isolated, pain-free and docile - because instead of venturing out themselves, they send surrogates, perfect mechanical counterparts, to do the work. But when a murder shatters this perfect world, an FBI agent will discover a conspiracy behind this perfect world and will have to abandon his own surrogate and risk his own life to find the truth."
2006,Skin (2009),3.17/4,2009,Biography/Drama,PG-13,Anthony Fabian,"Sam Neill, Sophie Okonedo, Terri Ann Eckstein",
2007,American Violet,2.70/4,2009,Drama,PG-13,Tim Disney,"Nicole Beharie, Will Patton, Alfre Woodard",A single black mother struggles to clear her name after being wrongly accused and arrested for dealing drugs in an impoverished town in Texas.
2008,Green Lantern: First Flight,2.70/4,2009,Animation/Adventure,PG-13,Lauren Montgomery,"Christopher Meloni, Victor Garber, Tricia Helfer",The story of Hal Jordan's transformation from a pilot to a guardian of Earth.  A dying alien named Abin Sur crashes and passes on the most powerful ring created.
2009,Julia (2009),2.68/4,2009,Drama/Thriller,R,Erick Zonca,"Tilda Swinton, Saul Rubinek, Kate del Castillo",
2010,Boondock Saints II: All Saints Day,2.52/4,2009,Crime/Drama,R,Troy Duffy,"Julie Benz, Clifton Collins Jr., Sean Patrick Flanery","The MacManus brothers are living a quiet life in Ireland with their father, but when they learn their beloved priest has been killed by mob forces, the duo return to Boston to bring justice to those responsible."
2011,17 Again,2.47/4,2009,Comedy,PG-13,Burr Steers,"Zac Efron, Matthew Perry, Leslie Mann","Twenty years after his high school glory days and a life that didn't turn out like he wanted, 	Mike O'Donnell is given a second chance when he is suddenly changed back to 17.  While his body is young again, his mind is still in the 30s and the class of 2009 has a whole different outlook."
2012,Not Easily Broken,2.63/4,2009,Drama,PG-13,Bill Duke,"Morris Chestnut, Taraji P. Henson, Maeve Quinlan",
2013,Dean Spanley,2.90/4,2009,Comedy/Drama,PG,Toa Fraser,"Jeremy Northam, Sam Neill, Bryan Brown","A story set in Edwardian England, about a melancholic man, his elderly, awfully vitriolic father and a peculiar dean who will bind them together in the most extraordinary way..."
2014,Summer's Blood ( Summer's Moon ),2.90/4,2009,Horror/Thriller,R,Lee Demarbre,"Ashley Greene, Peter Mooney, Barbara Niven",A family of serial killers stalk a young woman out to find the father she's never known.
2015,"Revenant, The (2009)",2.90/4,2009,Comedy/Horror,R,D. Kerry Prior,"Annie Abbott, Senyo Amoaku, David Anders","The Revenant is a dark comedy about Bart, (David Anders) that comes back from the dead. After climbing out of this coffin he seeks out his best friend Joey, (Chris Wylde) for help. First order of business is to figure out what Bart is. After figuring out that Bart is a Revenant the two best friends begins an insane adventure to get the blood Bart needs to keep from decomposing."
2016,Taking Chance (2009),2.65/4,2009,Drama/War,NR,Ross Katz,"Kevin Bacon, Tom Aldredge, Nicholas Art",
2017,Me and Orson Welles,2.68/4,2009,Drama,PG-13,Richard Linklater,"Ben Chaplin, Claire Danes, Zac Efron","A teenager is cast in the Mercury Theatre production of ""Julius Caesar"" directed by a young Orson Welles in 1937."
2018,The International,2.58/4,2009,Drama/Thriller,R,Tom Tykwer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl",An Interpol agent and an assistant DA find themselves on a globe-spanning missions and fight for survival after uncovering a massive bank's illegal activities to destabilize governments and finance terrorism.
2019,Astro Boy,2.57/4,2009,Animation/Sci-Fi,PG,David Bowers,"Kristen Bell, Nicolas Cage, Freddie Highmore","A scientist creates the perfect boy. Powered by blue energy, Astro Boy has strength, speed, flight and x-ray vision. In order to be accepted as human, he embarks on a journey of self-discovery. When Metro City is put in harms way, Astro Boy returns and puts his powers and newfound emotions to the test."
2020,Brooklyn's Finest,2.51/4,2009,Crime/Drama,R,Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke",Three Brooklyn cops with vastly different outlooks on life - personally and professionally - wind up at the same crime scene.
2021,Knowing,2.43/4,2009,Drama/Thriller,PG-13,Alex Proyas,"Rose Byrne, Nicolas Cage, Chandler Canterbury","After a time capsule is dug up by his son's elementary school, a teacher discovers one of the papers buried within has a series of numbers that have predicted major disasters of the past 50 years. It also shows disasters yet to occur, and he acts to solve the mystery before the numbers run out."
2022,"Informant!, The (2009)",2.46/4,2009,Comedy/Crime,R,Steven Soderbergh,"Matt Damon, Scott Bakula, Tony Hale","Mark Whitacre, a high-ranking, agri-business executive for Archer Daniels Midland turns FBI informant about a price-fixing scheme. But the bi-polar Whitacre, who figures himself a hero to people, may be more trouble than he's worse when his own transgressions are brought to light."
2023,It Might Get Loud,2.62/4,2009,Documentary,PG,Davis Guggenheim,"Jimmy Page, The Edge, Jack White","Three generations of electric guitarists: Jimmy Page, The Edge and Jack White, wax poetic on the history of their instrument of choice and do a little heavy shredding as well."
2024,Love Aaj Kal,2.65/4,2009,Comedy/Drama,NR,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor",
